,Unnamed: 0,Unnamed: 0.1,date,text
1,1,28134,2018-11-23 23:59:44,Someone just sent me this and this is exactly how I felt like when I was trying to catch a shiny 
2,2,28135,2018-11-23 23:59:42,Finally landed a shiny Vulpix! 
3,3,28136,2018-11-23 23:59:41,space my ass! 
4,4,28137,2018-11-23 23:59:30,Best dressed in the game center. 
8,9,28142,2018-11-23 23:58:50,"29 HOURS REMAIN, IF YOU HAVEN'T YET, ENTER FOR A CHANCE TO WIN EEVEE! WINNER WILL BE ANNOUNCED TOMORROW! "
9,10,28143,2018-11-23 23:58:42,Greeting from Celadon city. 
10,12,28145,2018-11-23 23:58:17,Same 
11,14,28147,2018-11-23 23:58:12,Spending Friday night playing on the switch with . 2 player Uh yes please!'
12,15,28148,2018-11-23 23:57:56,candies break this game.
14,17,28150,2018-11-23 23:57:38,hunting for a shiny vulpix and this beauty shows up! shiny pidgeotto!! 
16,20,28153,2018-11-23 23:57:15,a bit like a Ditto with a nut screw head to me! xD 
17,21,28154,2018-11-23 23:57:10,Do not question my love for Psyduck 
19,23,28156,2018-11-23 23:56:54,Great stream today caught that elusive shiny Ponyta! 
20,24,28157,2018-11-23 23:56:44,Pokemon stream  
23,27,28160,2018-11-23 23:56:40,"Chained for Venonat, tried for Squirtle on the side and I get Psyduck instead. "
25,30,28163,2018-11-23 23:56:17,This game is amazing 
26,31,28164,2018-11-23 23:56:17,IT DOES DO THE THING!
28,33,28166,2018-11-23 23:56:11,Gottem 
31,36,28169,2018-11-23 23:55:54,"Sanic's the name, adorb is his game "
32,38,28171,2018-11-23 23:55:42,I FOUND YOU! 
33,39,28172,2018-11-23 23:55:39,I was only leveling up some pokemons to complete the pokedex and i found this instead. 
35,42,28175,2018-11-23 23:55:24,"The lights came up to show this guy and I couldn\'t stop from shouting: ""you\'ve gotta be fucking kidding me!"" "
36,43,28176,2018-11-23 23:55:20,omg I love him 
37,44,28177,2018-11-23 23:55:16,"I love eevee sooooo much, this game is everything i wanted and more!! Let's go Eevee!! "
38,45,28178,2018-11-23 23:55:11,BQShiny Psyduck  
40,48,28181,2018-11-23 23:54:55,Theres a scientist in Silph Co. with my name. Please go easy on him. 
41,49,28182,2018-11-23 23:54:50,You're flying Pikachu 
42,50,28183,2018-11-23 23:54:37,2nd shiny in let's go! 
43,51,28184,2018-11-23 23:54:28,SHIIIIINY 
45,53,28186,2018-11-23 23:54:05,Traded a Pokemon and got a shiny. Not sure if Butterfree will be on final team but we'll see 
47,56,28189,2018-11-23 23:53:39,"You know what not what i was looking for, but fuck ill take it "
48,57,28190,2018-11-23 23:53:38,I SWEAR IM NOT HACKING 
49,59,28192,2018-11-23 23:53:23,"In just 10 minutes, we are back with some more Eevee! Tonight we will be taking on the Gym Leader of Saffron City, Sabrina in a Psychic Showdown for the ages! () "
50,60,28193,2018-11-23 23:53:16,DUDE NOOOOOOO I SPENT 12+ HOURS HUNTING SHINY KRABBY THEN THIS HAPPENS OMGGGGGGG 
51,61,28194,2018-11-23 23:53:10,you can tell the difference so much easier and i love it 
53,64,28197,2018-11-23 23:53:02,TIME TO GO BEYOND BULBASAUR LEVEL 2BULBASAUR LEVEL..THREEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE
54,66,28199,2018-11-23 23:52:40,Lord Naive V is looking cooler than you 
55,68,28201,2018-11-23 23:52:32,Getting Close to 250 caught and still no shiny. NEVER GIVING UP! 
56,69,28202,2018-11-23 23:52:31,"Yep, that too. "
57,70,28203,2018-11-23 23:52:09,And yes I caught it. 
58,71,28204,2018-11-23 23:52:08,Why thank you! I try to manscape often. 
59,72,28205,2018-11-23 23:51:54,More goodies 
60,74,28207,2018-11-23 23:51:29,"Nice! Apparently, Gym Leaders have the right to challenge the Champion post game "
61,75,28208,2018-11-23 23:51:27,Alrighty I just finished getting everything set back up &amp; I am going to hop on in a few minutes for a short stream of or maybe some multiplayer games if everybody wants to just hang and play.'
62,79,28212,2018-11-23 23:51:09,Playing a game about legal animal fights and taking money from children! Streaming Let's go Eevee tonight at 7PM EST. Let's get going on this adventure! 
63,80,28213,2018-11-23 23:51:01,too many photos 
64,82,28215,2018-11-23 23:50:31,we got our second badge! 
66,84,28217,2018-11-23 23:49:55,Highlight of my life! 
68,87,28220,2018-11-23 23:49:27,Just played some of this. It has been dumbed down but is still great to go back to Kanto and see the original Pokemon. 
69,89,28222,2018-11-23 23:49:05,"Dudes, post that outside the cave, not next to the damn Zubat!!! SMH... =__=' "
70,92,28225,2018-11-23 23:48:49,Having fun yet?  
71,93,28226,2018-11-23 23:48:40,"could just keep creeping up on you and throw you out... but you take care of that business first"" "
75,101,28234,2018-11-23 23:47:54,BIG GREEN BOY 
76,103,28236,2018-11-23 23:47:46,me to shiny hunt Caterpie. :/i have shiny charm btw. 
77,107,28240,2018-11-23 23:47:16,We live boys playing some pokemans 
78,108,28241,2018-11-23 23:47:06,"of my first capture. Shiny Pidgey, currently a Pidgeotto named Lucid. "
