,Unnamed: 0,Unnamed: 0.1,date,text
1,2,93846,2018-11-19 23:59:55,best title screen 
2,3,93847,2018-11-19 23:59:54,WE SISTER STAN 
3,4,93848,2018-11-19 23:59:52,I chose Who will you choose for your adventure on 
4,5,93849,2018-11-19 23:59:50,Hooked me a Goldie boi!! 
5,9,93853,2018-11-19 23:59:45,Prepare for trouble!James: And make it double! 
8,15,93859,2018-11-19 23:59:35,watch the tail!!!! 
10,20,93864,2018-11-19 23:59:20,150th Stream for 2018! That's one for every Gen 1 Pokemon! More tonight. See you in a few minutes! &lt;3 
11,21,93865,2018-11-19 23:59:12,My Heart... 
12,22,93866,2018-11-19 23:59:12,After shipment shenanigans resulted in dashed expectations: the time is finally here and I'm wearing my uniform  
13,25,93869,2018-11-19 23:59:07,Shiny evolution 
15,28,93872,2018-11-19 23:58:52,SO FUCKING CUTE!!!! 
16,29,93873,2018-11-19 23:58:51,Ahhh that's a cool pose. James with the rose. 
17,32,93876,2018-11-19 23:58:48,this is either a popular pose or gamefreak got lazy 
18,34,93878,2018-11-19 23:58:40,My mans thirsty 
20,38,93882,2018-11-19 23:58:29,My little ponyta 
21,40,93884,2018-11-19 23:58:23,Is starting with Mew cheating? 
23,43,93887,2018-11-19 23:58:14,"This is absolutely disgusting, these stats are wild. "
24,45,93889,2018-11-19 23:58:12,coming 
25,48,93892,2018-11-19 23:58:05,Second shiny Vulpix 
29,53,93897,2018-11-19 23:57:55,Must protect at all times 
30,54,93898,2018-11-19 23:57:53,2 30+ combos broken later c: 
31,60,93904,2018-11-19 23:57:32,Pokemon Let's Go Episode 3: Mt. Moon Chronicles via 
32,64,93908,2018-11-19 23:57:18,Shiny Mega Blastoise is *everything* 
33,65,93909,2018-11-19 23:57:14,omg my heart &lt;333
35,67,93911,2018-11-19 23:57:09,of your evil looks. 
36,68,93912,2018-11-19 23:57:09,Litty 
37,70,93914,2018-11-19 23:57:05,he is GOD 
38,74,93918,2018-11-19 23:57:00,Pokemon: Let's Go arrived in the mail finally!  Let's get into this gig!
39,76,93920,2018-11-19 23:56:55,Bless 
40,77,93921,2018-11-19 23:56:54,My wife 
41,80,93924,2018-11-19 23:56:45,I'm fully smitten with the way my Krabby scuttles around next to me in 
44,87,93931,2018-11-19 23:56:17,Eevee's secret move is to KILL and walk away from the explosionI love my girl 
45,88,93932,2018-11-19 23:56:16,Finally 
46,89,93933,2018-11-19 23:56:16,"I noticed they're a pest, Game Freak, don't worry! "
49,94,93938,2018-11-19 23:56:07,"O Sweet Golden Child, tell me your secrets "
50,98,93942,2018-11-19 23:55:50,After 8 hours of hunting this beauty appeared! Ponyta was my target but I will gladly take a shiny Eevee 
52,101,93945,2018-11-19 23:55:48,What did I just do? 
53,102,93946,2018-11-19 23:55:42,aaaaaa look at her 
56,106,93950,2018-11-19 23:55:27,would a guy like you join Team Rocket!? 
58,112,93956,2018-11-19 23:55:08,gs remakes confirmed 
59,113,93957,2018-11-19 23:55:06,im cry too cute 
60,114,93958,2018-11-19 23:55:03,I feel legend...wait for it... dary! Legendary! 
61,115,93959,2018-11-19 23:55:01,Its go time! Lets get those Squad Goals! Gonna catch a Squirtle and lots and lots of Eevees! 
62,116,93960,2018-11-19 23:54:59,check out these BOYS 
64,122,93966,2018-11-19 23:54:42,UM HELLO??!?!? ITS BEEN LIKE A DECADE HES STILL AS COOL AS I REMEMBER 
65,124,93968,2018-11-19 23:54:33,oh no... 
67,128,93972,2018-11-19 23:54:26,"these painting of Bell Tower, Mt. Silver, Alola, and Spear Pillar? "
68,129,93973,2018-11-19 23:54:19,"Day 1, and I'm already laughing! This is going to be a good game! "
69,132,93976,2018-11-19 23:54:08,Nope. 
70,133,93977,2018-11-19 23:53:59,Has anyone caught a shiny in yet?'
73,142,93986,2018-11-19 23:53:41,My big precious fire pupper evolved! &lt;333 
74,145,93989,2018-11-19 23:53:28,"tonight!!!!!!! 10pm est, be there!!!! "
75,151,93995,2018-11-19 23:53:14,Current team! 
76,152,93996,2018-11-19 23:53:13,Gonna do a few shiny chains then continue the story!
79,156,94000,2018-11-19 23:53:02,First throw 
80,157,94001,2018-11-19 23:53:00,games are getting review-bombed on Metacritic 
81,158,94002,2018-11-19 23:52:59,Bruh why nidoran run after I gave it a razz berry.  Breaking my chain. 
83,166,94010,2018-11-19 23:52:44,Level of loneliness: playing with myself in Pokemon :'') 
84,168,94012,2018-11-19 23:52:40,Literally just doing this to transfer my screenshots 
85,169,94013,2018-11-19 23:52:37,Blue! 
88,172,94016,2018-11-19 23:52:24,ohhhh my godddddd i love pikachu 
90,175,94019,2018-11-19 23:52:19,Who wants to catch them all with me Tonight 8pm CST 
91,176,94020,2018-11-19 23:52:18,Helping me keep an eye out for shinnies 
93,181,94025,2018-11-19 23:52:02,Grinding in Pokmon tonight since Fallout 76 has a huge update I didnt know about. Come hang out! 
95,183,94027,2018-11-19 23:52:00,out there. 
97,185,94029,2018-11-19 23:51:58,"When your pokemon say ""Nah not today."" "
98,186,94030,2018-11-19 23:51:58,"This dapper gentleman wont share his diglet hat, but i guess i understand..  "
99,189,94033,2018-11-19 23:51:49,WHAT??? 
104,197,94041,2018-11-19 23:51:34,EXCUSE ME 
105,198,94042,2018-11-19 23:51:33,"Went to play then realized too late that I hadn't charged my for a while...so now I have to wait and charge it...*sobs*"""
106,199,94043,2018-11-19 23:51:32,"I was going to go with Gary, but he's not Gary... "
107,200,94044,2018-11-19 23:51:28,Going to start streaming is about 10 minutes over on my Twitch.'
108,201,94045,2018-11-19 23:51:27,how cute is this big noodle 
109,204,94048,2018-11-19 23:51:22,"first shiny in this game, which randomly showed up. probably the second one wild one i got in my entire life "
110,215,94059,2018-11-19 23:51:05,WHAT A CLUTCH 
112,217,94061,2018-11-19 23:51:00,Shiny hunting wasn't a mistake 
113,219,94063,2018-11-19 23:50:55,"After a long day, I am curled up with and an Rose. Thank goodness  "
115,222,94066,2018-11-19 23:50:34,"I'll be filming and finishing my Meltan Special Research tomorrow! No new video today, but I will be livestreaming Pokemon Lets Go Pikachu in a couple hours. See you then trianers!  "
116,224,94068,2018-11-19 23:50:24,I'm dying over here this game is too cute 
117,225,94069,2018-11-19 23:50:24,"Full disclosure:I wouldn't be able to play without the aim-assist. I love the it........Unless I'm throwing predict-throws at Grimer. Then the aim assist always launches my balls way too high.I caught a Pidgey while fighting a Grimer thanks to the aim-assist """
118,226,94070,2018-11-19 23:50:22,Give me my fucking shiny. 
119,230,94074,2018-11-19 23:50:16,I GOT MY FIRST SHINY  
120,231,94075,2018-11-19 23:50:16, I FINALLY GOT MY SHIPMENT &lt; &gt; 
121,237,94081,2018-11-19 23:49:57,Casually thinks about how cute I am 
122,239,94083,2018-11-19 23:49:52,How much Exp points i got ! 
124,244,94088,2018-11-19 23:49:33,"Despite the many issues with the game, at least it still knows how to melt your heart after all these years. "
126,246,94090,2018-11-19 23:49:27,Rough n Tumble ready to rough you up 
128,248,94092,2018-11-19 23:49:24,"detective pikachu? hah, try policeevee.///we look good lol "
130,252,94096,2018-11-19 23:49:17, 2h left... fuck off Chansey &gt;&lt;'  
131,253,94097,2018-11-19 23:49:17,Watching this beauty take off 
134,265,94109,2018-11-19 23:48:52,Shiny Starmie! 
135,268,94112,2018-11-19 23:48:50,got my first glitch 
137,271,94115,2018-11-19 23:48:40,Classic Team Rocket Trio! 
139,274,94118,2018-11-19 23:48:33,"I dont think people really have a grasp on how spoiled you are to have a game that looks, and feels as GREAT as is. Its amazing where the series has gone since Pokemon Yellow way way back. Go play that and then you will REALLY know the difference. "
141,279,94123,2018-11-19 23:48:24,I CAN FINALLY REST 
142,280,94124,2018-11-19 23:48:23,begins... 
143,281,94125,2018-11-19 23:48:22,no not really 
144,282,94126,2018-11-19 23:48:20,me after launching my fortnite-based twitch channel 
145,284,94128,2018-11-19 23:48:07,Shiny Raticate Hypeno freakout 
146,285,94129,2018-11-19 23:48:07,My investment has paid off!! 
147,286,94130,2018-11-19 23:48:06,when he calls you his girl ^_^;
148,288,94132,2018-11-19 23:48:02,Send help. 
150,293,94137,2018-11-19 23:47:54,It makes you a pathetic excuse of a human being! 
151,294,94138,2018-11-19 23:47:47,"Speaking of Vulpix, does anyone want an Alolan Vulpix? "
152,300,94144,2018-11-19 23:47:36,I maaay be enjoying this game &gt;.&gt; 
154,304,94148,2018-11-19 23:47:30,changes not tied to an Npc?HELL YEAH! 
155,307,94151,2018-11-19 23:47:19,"When you tell her about your 12"" horse schlong "
156,309,94153,2018-11-19 23:47:13,*Gross sobbing* 
157,310,94154,2018-11-19 23:47:12,Shiny Butterfree! 
158,313,94157,2018-11-19 23:47:10,"We're live with more with at come hangout!"""
159,314,94158,2018-11-19 23:47:07,but every time there's a critical hit says 
160,317,94161,2018-11-19 23:47:02,I got it :D 
161,319,94163,2018-11-19 23:47:00,if I have anything to say about it! 
162,320,94164,2018-11-19 23:46:55,Intimidating ninja men agressively closing in on you in 20fps 
163,321,94165,2018-11-19 23:46:55,Are You Enjoying ?'
164,324,94168,2018-11-19 23:46:40,Got it! :D 
167,332,94176,2018-11-19 23:46:18,it doesn't! It belongs to its citizens! 
168,334,94178,2018-11-19 23:46:15,My Shiny Dragonite I got while Pidgey chaining! 
169,336,94180,2018-11-19 23:46:13,AHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH FULL ODDS 
171,339,94183,2018-11-19 23:46:11,Someone needs to tell Officer Jenny that ACAB. 
172,341,94185,2018-11-19 23:46:07,OHHHHHHHHHH BOY! FIRST LEGEND! 
173,342,94186,2018-11-19 23:46:05,They Know.  They fucking know. 
176,345,94189,2018-11-19 23:45:59,What should I next in '
177,347,94191,2018-11-19 23:45:56,Work is drainning me only bad thing about Christmas! live again though  
