,Unnamed: 0,Unnamed: 0.1,date,text
111,153,52945,2018-11-21 23:46:35,Completed! 
113,155,52947,2018-11-21 23:46:22,My baby is precious and sweet. 
115,157,52949,2018-11-21 23:46:15,"Episode 7 of is going to be a long one!  Over an hour long, and it is currently uploading, and should be ready in the coming hours!  The PREMIERE is currently scheduled for 5:00 PM (PT)!  I'll keep you posted! "
117,159,52951,2018-11-21 23:46:03,Still looking to trade for Koffing and a ekans if any one is willing to? I dont have much to offer. Dont care what level. 
120,164,52956,2018-11-21 23:45:38,OMG HUNTERS ARE SOO BIG 
121,165,52957,2018-11-21 23:45:36,Ahhh queen 
124,170,52962,2018-11-21 23:45:01,My full odds shiny Pidgey! 
126,174,52966,2018-11-21 23:44:50,frae moods 
127,175,52967,2018-11-21 23:44:50,Uhhh... Is the first Gym supposed to be this easy?  
128,176,52968,2018-11-21 23:44:41,"Can't believe it took this long to get to gym 4, but here we are, bouta fight Blaine "
129,178,52970,2018-11-21 23:44:40,I did it 
130,180,52972,2018-11-21 23:44:37,I just realized I missed an excellent opportunity to name my rival Dinkleberg in I'm in Celadon City is it too late to restart my game for this  
131,181,52973,2018-11-21 23:44:37,"Obligatory posting of this screenshot, since everyone else seems to. "
132,182,52974,2018-11-21 23:44:27,So Mistys gym... a huge rainbow wall and beautiful ladies in bikinis. Wanna tell me again how Misty isnt a sapphic icon? 
133,184,52976,2018-11-21 23:44:20,Can we talk about this absolute GLOW UP from Lorelei in hot for an ice type trainer. I'm a Lorelei kind of guy.  
134,185,52977,2018-11-21 23:44:17,that's the spot 
135,186,52978,2018-11-21 23:44:16,Todays find. 
136,187,52979,2018-11-21 23:44:15,I need an adult. 
137,189,52981,2018-11-21 23:44:07,very important video 
138,190,52982,2018-11-21 23:43:59,The big beefy boy is here! 
140,193,52985,2018-11-21 23:43:45,"I just saved Saffron City in After that my rival asked me how many badges I have and only said ""that many, huh?""I only have 3 gym badges right now. Guess the game wasn\'t prepared for that. "
141,194,52986,2018-11-21 23:43:33,Taking on gyms like... do you even lift bro? 
143,196,52988,2018-11-21 23:43:17,Some things don't ever change &lt;3
144,197,52989,2018-11-21 23:43:16,"My sylveon outfit, so cute "
145,198,52990,2018-11-21 23:43:15,Am I playing Ace Attorney now? Is this Von Karma?? 
148,201,52993,2018-11-21 23:42:59,Was hunting for a Drowzee shiny and saw those feet and jumped. got him too. 
149,203,52995,2018-11-21 23:42:56,HES DEAD 
152,208,53000,2018-11-21 23:42:22,Ported over some Pokemon from to will hopefully be the team I will be sticking with! 
153,209,53001,2018-11-21 23:42:22,Allo Juicy 
154,210,53002,2018-11-21 23:42:16,this is epik 
156,215,53007,2018-11-21 23:42:03,I just completed the Pokedex!!  
157,221,53013,2018-11-21 23:41:41,"Geez, sorry, I was just trying to learn something... ""Miss Don\'t Look At My Stuff..."" "
158,222,53014,2018-11-21 23:41:39,Shiny Karp!! 
159,223,53015,2018-11-21 23:41:37,Important  
161,225,53017,2018-11-21 23:41:37,Great news for &amp; players! The new pokeball plus does NOT autocatch but it DOES autospin pokstops!!! I just realized this when riding around for Cresselia raids today. Imho this actually makes the pokeball plus worth getting for it's dual functionality. 
163,229,53021,2018-11-21 23:41:13,OH MY I'm happy for you! From the gameplay footage I've been watching your going to enjoy yourself. Especially the soundtrack your going to hear game as most of it is more orchestra oriented. It's really good! 
164,230,53022,2018-11-21 23:41:07,1MILLION $$$ WTF 
165,231,53023,2018-11-21 23:41:05,going to dsleep because i need to not play the game and my brain is catching pokemon auto pilot x'
166,233,53025,2018-11-21 23:40:57,My fianc just named his rival and I cant  
